教科,学年,ジャンル,観点,内容
国語,1年,物語文,knowledge,身近なことを表す語句の量を増し、話や文章の中で使うとともに、言葉には意味による語句のまとまりがあることに気付き、語彙を豊かにすることができる。
国語,1年,物語文,knowledge,読書に親しみ、いろいろな本があることを知ることができる。
国語,1年,物語文,thinking,場面の様子や登場人物の行動など、内容の大体を捉えることができる。
国語,1年,物語文,thinking,場面の様子に着目して、登場人物の行動を具体的に想像することができる。
国語,1年,物語文,thinking,文章の内容と自分の体験とを結び付けて、感想を持つことができる。
国語,1年,物語文,thinking,文章を読んで感じたことや分かったことを共有することができる。
国語,1年,物語文,attitude,物語文を楽しみながら、自分の感じたことや分かったことを伝えようとしている。
国語,2年,物語文,knowledge,身近なことを表す語句の量を増し、話や文章の中で使うとともに、言葉には意味による語句のまとまりがあることに気付き、語彙を豊かにすることができる。
国語,2年,物語文,knowledge,読書に親しみ、いろいろな本があることを知ることができる。
国語,2年,物語文,thinking,場面の様子や登場人物の行動など、内容の大体を捉えることができる。
国語,2年,物語文,thinking,場面の様子に着目して、登場人物の行動を具体的に想像することができる。
国語,2年,物語文,thinking,文章の内容と自分の体験とを結び付けて、感想を持つことができる。
国語,2年,物語文,thinking,文章を読んで感じたことや分かったことを共有することができる。
国語,2年,物語文,attitude,物語文を楽しみながら、自分の感じたことや分かったことを伝えようとしている。
国語,3年,物語文,knowledge,様子や行動、気持ちや性格を表す語句の量を増し、話や文章の中で使うとともに、言葉には性質や役割による語句のまとまりがあることを理解し、語彙を豊かにすることができる。
国語,3年,物語文,knowledge,幅広く読書に親しみ、読書が、必要な知識や情報を得ることに役立つことに気付くことができる。
国語,3年,物語文,thinking,登場人物の行動や気持ちなどについて、叙述を基に捉えることができる。
国語,3年,物語文,thinking,登場人物の気持ちの変化や性格、情景について、場面の移り変わりと結び付けて具体的に想像することができる。
国語,3年,物語文,thinking,文章を読んで理解したことに基づいて、感想や考えをもつことができる。
国語,3年,物語文,thinking,文章を読んで感じたことや考えたことを共有し、一人一人の感じ方などに違いがあることに気付くことができる。
国語,3年,物語文,attitude,物語文を楽しみながら、自分の感じたことや分かったことを伝え、一人一人の感じ方などの違いを自分の考えに活かそうとしている。
国語,4年,物語文,knowledge,様子や行動、気持ちや性格を表す語句の量を増し、話や文章の中で使うとともに、言葉には性質や役割による語句のまとまりがあることを理解し、語彙を豊かにすることができる。
国語,4年,物語文,knowledge,幅広く読書に親しみ、読書が、必要な知識や情報を得ることに役立つことに気付くことができる。
国語,4年,物語文,thinking,登場人物の行動や気持ちなどについて、叙述を基に捉えることができる。
国語,4年,物語文,thinking,登場人物の気持ちの変化や性格、情景について、場面の移り変わりと結び付けて具体的に想像することができる。
国語,4年,物語文,thinking,文章を読んで理解したことに基づいて、感想や考えをもつことができる。
国語,4年,物語文,thinking,文章を読んで感じたことや考えたことを共有し、一人一人の感じ方などに違いがあることに気付くことができる。
